Name,Formula,Solubility at 20°C
Lanthanum(III) molybdate,La2(MoO4)3,0.002473
Lanthanum(III) nitrate,La(NO3)3,136.0
Lanthanum(III) selenate,La2(SeO4)3,45.0
Lanthanum(III) sulfate,La2(SO4)3,2.33
Lanthanum(III) tungstate,La2(WO4)3,6.06
Lead(II) acetate,Pb(C2H3O2)2,44.3
Lead(II) azide,Pb(N3)2,0.0249
Lead(II) bromate,Pb(BrO3)2,7.92
Lead(II) bromide,PbBr2,0.973
Lead(II) carbonate,PbCO3,7.269000000000001e-05
Lead(II) chlorate,Pb(ClO3)2,144.0
Lead(II) chloride,PbCl2,1.08
Lead(II) chromate,PbCrO4,1.7100000000000002e-05
Lead(II) ferrocyanide,PbFe(CN)6,0.0005991
Lead(II) fluoride,PbF2,0.0671
Lead(II) fluorosilicate,PbSiF6,222.0
Lead(II) hydrogen phosphate,PbHPO4,0.0003457
Lead(II) hydrogen phosphite,PbHPO3,0.02187
Lead(II) hydroxide,Pb(OH)2,0.0001615
Lead(II) iodate,Pb(IO3)2,0.0024
Lead(II) iodide,PbI2,0.076
Lead(II) molybdate,PbMoO4,1.161e-05
Lead(II) nitrate,Pb(NO3)2,54.3
Lead(II) oxalate,PbC2O4,0.0006495
Lead(II) perchlorate,Pb(ClO4)2·3H2O,440.0
Lead(II) selenate,PbSeO4,0.0131
Lead(II) sulfate,PbSO4,0.00443
Lead(II) sulfide,PbS,6.767e-13
Lead(II) tartrate,PbC4H4O6,0.0025
Lead(II) thiocyanate,Pb(SCN)2,0.553
Lead(II) thiosulfate,PbS2O3,0.0202
Lead(II) tungstate,PbWO4,0.02838
Lead(IV) hydroxide,Pb(OH)4,7.228999999999999e-11
Lithium acetate,LiC2H3O2,40.8
Lithium azide,LiN3,67.2
Lithium benzoate,LiC7H5O2,44.7
Lithium bicarbonate,LiHCO3,5.74
Lithium bromate,LiBrO3,179.0
Lithium bromide,LiBr,160.0
Lithium carbonate,Li2CO3,1.33
Lithium chlorate,LiClO3,372.0
Lithium chloride,LiCl,83
Lithium chromate,Li2CrO4,142.0
Lithium dichromate,Li2Cr2O7,151.0
Lithium dihydrogen phosphate,LiH2PO4,
Lithium fluoride,LiF,0.127
Lithium fluorosilicate,Li2SiF6,73.0
Lithium formate,LiHCO2,39.3
Lithium hydrogen phosphite,Li2HPO3,9.97
Lithium hydroxide,LiOH,12.8
Lithium iodide,LiI,165.0
Lithium molybdate,Li2MoO4,79.5
Lithium nitrate,LiNO3,70.1
Lithium nitrite,LiNO2,96.8
Lithium oxalate,Li2C2O4,8.0
Lithium perchlorate,LiClO4,56.1
Lithium permanganate,LiMnO4,71.4
Lithium phosphate,Li3PO4,0.039
Lithium selenide,Li2Se,57.7
Lithium selenite,Li2SeO3,21.5
Lithium sulfate,Li2SO4,34.8
Lithium tartrate,Li2C4H4O6,27.1
Lithium thiocyanate,LiSCN,114.0
Lithium vanadate,LiVO3,4.82
Lutetium(III) hydroxide,Lu(OH)3,1.164e-05
Lutetium(III) sulfate,Lu2(SO4)3,57.9
Magnesium acetate,Mg(C2H3O2)2,53.4
Magnesium benzoate,Mg(C7H5O2)2,
Magnesium bromate,Mg(BrO3)2,
Magnesium bromide,MgBr2,101.0
Magnesium carbonate,MgCO3,0.039
